category,anonymousId,name,originalTimestamp,messageId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,input_value,input_num,input_name,button_name,location,traits,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,email,search_text,event_type
dashboard,d79f57b7-9c05-4029-9677-7389ce1742a9,dashboard,2026-04-14 23:53:00.140000+00:00,ajs-next-1776210780140-f889b473-2c4f-4e09-af9d-db8d5b831e55,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1776210729408x448410210135887360,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,page
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:55:18.011000+00:00,ajs-next-1776210918011-244f4325-8c89-4bec-8802-383965abe41b,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,"1752717497153x537286585580736960, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744579851707x640487742075829500",,,true,,,,,,,,,,,,,,,,,,,,impression
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:53:17.329000+00:00,ajs-next-1776210797329-b4732c4f-2e09-4f9d-9b8d-5b831e55d3a8,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,1776210729408x448410210135887360,,,,913.706.9741,5,phone,,,,,,,,,,,,,,,,,input_changed
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:55:16.452000+00:00,ajs-next-1776210916453-9c0e4ee3-dafa-4ede-8d6b-09d4d0cda9d7,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/business_profile/hubertus-law,https://coloradocatholicbusinessdirectory.com/,,Hubertus Law | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hubertus-law,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,,,,,,,,logo,navbar,,,,,,,,,,,,,,,button_click
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:54:50.346000+00:00,ajs-next-1776210890346-d3fa65a5-9c0e-4ee3-9afa-8ede8d6b09d4,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/business_profile/hubertus-law,https://coloradocatholicbusinessdirectory.com/,,Hubertus Law | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hubertus-law,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,,,,,,,,,,"{'business_id': '1776210729408x448410210135887360', 'email': 'bob@hubertuslaw.com', 'is_logged_in': True}",,,,,,,,,,,,,,identify
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:54:48.538000+00:00,ajs-next-1776210888538-54db0bdd-4df7-425f-81ab-be020ee829a5,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,1776210729408x448410210135887360,,,,,,,,,,,Legal Services,,,bob@hubertuslaw.com,Hubertus Law,Other,St. Mary - Littleton,913.706.9741,Corporate and commercial law,,bob@hubertuslaw.com,,db_update
index,d79f57b7-9c05-4029-9677-7389ce1742a9,index,2026-04-14 23:55:17.502000+00:00,ajs-next-1776210917502-2dee244f-4325-4c89-8bec-c802383965ab,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,page
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:52:56.177000+00:00,ajs-next-1776210776177-57b79c05-1029-4677-b389-ce1742a9a75a,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,,,,,,,,sign_up,,,,,,,,,,,,,,bob@hubertuslaw.com,,button_click
start,d79f57b7-9c05-4029-9677-7389ce1742a9,start,2026-04-14 23:52:17.733000+00:00,ajs-next-1776210737733-e8d79f57-b79c-4510-a9d6-777389ce1742,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,,,,,,,,,,,,,,,page
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:57:06.885000+00:00,ajs-next-1776211026885-43258c89-8bec-4802-b839-65abe41bbbc4,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,,,,,,,,logo,navbar,,,,,,,,,,,,,,,button_click
index,d79f57b7-9c05-4029-9677-7389ce1742a9,index,2026-04-14 23:57:12.015000+00:00,ajs-next-1776211032015-78691b46-ac37-4a41-9f89-2ff08af7ac61,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,page
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:57:12.008000+00:00,ajs-next-1776211032008-b62f7869-1b46-4c37-ba41-1f892ff08af7,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,,,,,,,,,,"{'business_id': '1776210729408x448410210135887360', 'email': 'bob@hubertuslaw.com', 'is_logged_in': True}",,,,,,,,,,,,,,identify
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:54:10.691000+00:00,ajs-next-1776210850691-db8d5b83-1e55-43a8-b60f-54db0bdd4df7,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,1776210729408x448410210135887360,,,,,10,email_checkbox,,,,,,,,,,,,,,,,,input_changed
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:53:38.650000+00:00,ajs-next-1776210818650-2c4f2e09-ef9d-4b8d-9b83-1e55d3a8f60f,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,1776210729408x448410210135887360,,,,St. Mary - Littleton,7,parish,,,,,,,,,,,,,,,,,input_changed
,d79f57b7-9c05-4029-9677-7389ce1742a9,,2026-04-14 23:53:44.825000+00:00,ajs-next-1776210824825-2e09ef9d-db8d-4b83-9e55-d3a8f60f54db,1776210729408x448410210135887360,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,,,1776210729408x448410210135887360,,,,Other,8,main_category,,,,,,,,,,,,,,,,,input_changed
